ERPNumber,Bulk Edit Items,,,,,,,,,,
,Item Code,Item Name,Warehouse,Quantity,Valuation Rate,Amount,Current Qty,Current Valuation Rate,Current Amount,Quantity Difference,Amount Difference
,item_code,item_name,warehouse,qty,valuation_rate,amount,current_qty,current_valuation_rate,current_amount,quantity_difference,amount_difference
, , , , , , , , , , , 
,The CSV format is case sensitive,,,,,,,,,,
,Do not edit headers which are preset in the template,,,,,,,,,,
,------,,,,,,,,,,
600003-001850-5000,RX7W22-08AA33AC,RX7W22-08AA33AC,Milpitas - B,*13,1,,22,1,,,
600007-000279-5000,RX7W22-08B33348,RX7W22-08B33348,Milpitas - B,*4,1,,7,1,,,
600007-000282-5000,RX7W22-08B333AC,RX7W22-08B333AC,Milpitas - B,*8,1,,13,1,,,
600003-002011-5000,RX7W22-78322748,RX7W22-78322748,Milpitas - B,0,1,,0,1,,,
600003-002013-5000,RX7W22-783227AC,RX7W22-783227AC,Milpitas - B,0,1,,0,1,,,
600003-001851-5000,RX7W22-78AA3348,RX7W22-78AA3348,Milpitas - B,0,1,,0,1,,,
600003-001852-5000,RX7W22-78AA33AC,RX7W22-78AA33AC,Milpitas - B,0,1,,0,1,,,
600003-002017-5000,RX7W22-78B32748,RX7W22-78B32748,Milpitas - B,*12,1,,2,1,,,
600003-002018-5000,RX7W22-78B327AC,RX7W22-78B327AC,Milpitas - B,*10,1,,0,1,,,
600007-000280-5000,RX7W22-78B33348,RX7W22-78B33348,Milpitas - B,*0,1,,0,1,,,
600007-000283-5000,RX7W22-78B333AC,RX7W22-78B333AC,Milpitas - B,*0,1,,0,1,,,
600003-002019-5000,RX7W22-C7322748,RX7W22-C7322748,Milpitas - B,0,1,,0,1,,,
600003-002020-5000,RX7W22-C73227AC,RX7W22-C73227AC,Milpitas - B,0,1,,0,1,,,
600007-000284-5000,RX7W22-C7AA3348,RX7W22-C7AA3348,Milpitas - B,0,1,,0,1,,,
600003-001855-5000,RX7W22-C7AA33AC,RX7W22-C7AA33AC,Milpitas - B,0,1,,0,1,,,
600007-000285-5000,RX7W22-C7B33348,RX7W22-C7B33348,Milpitas - B,0,1,,0,1,,,
600007-000286-5000,RX7W22-C7B333AC,RX7W22-C7B333AC,Milpitas - B,*0,1,,0,1,,,
600003-002021-5000,RX7W22-C8322748,RX7W22-C8322748,Milpitas - B,0,1,,0,1,,,
600003-002022-5000,RX7W22-C83227AC,RX7W22-C83227AC,Milpitas - B,0,1,,0,1,,,
600007-000287-5000,RX7W22-C8AA3348,RX7W22-C8AA3348,Milpitas - B,0,1,,0,1,,,
600007-001853-5000,RX7W22-C8AA33AC,RX7W22-C8AA33AC,Milpitas - B,0,1,,0,1,,,
600007-000288-5000,RX7W22-C8B33348,RX7W22-C8B33348,Milpitas - B,0,1,,0,1,,,
600007-000289-5000,RX7W22-C8B333AC,RX7W22-C8B333AC,Milpitas - B,0,1,,0,1,,,
600003-002023-5000,RX7W22-CF322748,RX7W22-CF322748,Milpitas - B,0,1,,0,1,,,
600003-002024-5000,RX7W22-CF3227AC,RX7W22-CF3227AC,Milpitas - B,0,1,,0,1,,,
600007-000290-5000,RX7W22-CFAA3348,RX7W22-CFAA3348,Milpitas - B,0,1,,0,1,,,
600003-001854-5000,RX7W22-CFAA33AC,RX7W22-CFAA33AC,Milpitas - B,0,1,,0,1,,,
600003-002025-5000,RX7W22-CFB32748,RX7W22-CFB32748,Milpitas - B,0,1,,0,1,,,
600003-002026-5000,RX7W22-CFB327AC,RX7W22-CFB327AC,Milpitas - B,0,1,,0,1,,,
600007-000291-5000,RX7W22-CFB33348,RX7W22-CFB33348,Milpitas - B,0,1,,0,1,,,
600007-000292-5000,RX7W22-CFB333AC,RX7W22-CFB333AC,Milpitas - B,0,1,,0,1,,,
600003-002103-5000,RX7W22-L783227,RX7W22-L783227,Milpitas - B,0,1,,0,1,,,
600007-000259-5000,RX7W22-L783233,RX7W22-L783233,Milpitas - B,0,1,,0,1,,,
600007-000295-5000,RX7W22-L78B333,RX7W22-L78B333,Milpitas - B,0,1,,0,1,,,
