ERPNumber,Bulk Edit Items,,,,,,,,,,
,Item Code,Item Name,Warehouse,Quantity,Valuation Rate,Amount,Current Qty,Current Valuation Rate,Current Amount,Quantity Difference,Amount Difference
,item_code,item_name,warehouse,qty,valuation_rate,amount,current_qty,current_valuation_rate,current_amount,quantity_difference,amount_difference
, , , , , , , , , , , 
,The CSV format is case sensitive,,,,,,,,,,
,Do not edit headers which are preset in the template,,,,,,,,,,
,------,,,,,,,,,,
200302-US1029-00,DC-FR05-ON300C(I),DC-FR05-ON300C(I),Milpitas - B,*34,1,,34,1,,,
200302-US1046-00,DC-FR06-OD300C(I),DC-FR06-OD300C(I),Milpitas - B,*30,1,,30,1,,,
200302-US1038-00,DC-FR06-OMD300C(I),DC-FR06-OMD300C(I),Milpitas - B,*24,1,,24,1,,,
200302-US1030-00,DC-FR06-ON300C(I),DC-FR06-ON300C(I),Milpitas - B,*15,1,,22,1,,,
200302-US1047-00,DC-FR07-OD300C(I),DC-FR07-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1039-00,DC-FR07-OMD300C(I),DC-FR07-OMD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1031-00,DC-FR07-ON300C(I),DC-FR07-ON300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1048-00,DC-FR08-OD300C(I),DC-FR08-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1040-00,DC-FR08-OMD300C(I),DC-FR08-OMD300C(I),Milpitas - B,*17,1,,17,1,,,
200302-US1032-00,DC-FR08-ON300C(I),DC-FR08-ON300C(I),Milpitas - B,*3,1,,3,1,,,
200302-US1049-00,DC-FR10-OD300C(I),DC-FR10-OD300C(I),Milpitas - B,*31,1,,31,1,,,
200302-US1041-00,DC-FR10-OMD300C(I),DC-FR10-OMD300C(I),Milpitas - B,*20,1,,20,1,,,
200302-US1033-00,DC-FR10-ON300C(I),DC-FR10-ON300C(I),Milpitas - B,*30,1,,34,1,,,
200302-US1050-00,DC-FR13-OD300C(I),DC-FR13-OD300C(I),Milpitas - B,*29,1,,29,1,,,
200302-US1042-00,DC-FR13-OMD300C(I),DC-FR13-OMD300C(I),Milpitas - B,*13,1,,13,1,,,
200302-US1034-00,DC-FR13-ON300C(I),DC-FR13-ON300C(I),Milpitas - B,*24,1,,24,1,,,
200302-US1051-00,DC-FR15-OD300C(I),DC-FR15-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1043-00,DC-FR15-OMD300C(I),DC-FR15-OMD300C(I),Milpitas - B,*27,1,,27,1,,,
200302-US1035-00,DC-FR15-ON300C(I),DC-FR15-ON300C(I),Milpitas - B,*3,1,,3,1,,,
200302-US1052-00,DC-FR20-OD300C(I),DC-FR20-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1044-00,DC-FR20-OMD300C(I),DC-FR20-OMD300C(I),Milpitas - B,*19,1,,19,1,,,
200302-US1036-00,DC-FR20-ON300C(I),DC-FR20-ON300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1075-00,DC-H05-OD300C(I),DC-H05-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US1067-00,DC-H05-OMD300C(I),DC-H05-OMD300C(I),Milpitas - B,*20,1,,20,1,,,
200302-US1059-00,DC-H05-ON300C(I),DC-H05-ON300C(I),Milpitas - B,*22,1,,22,1,,,
200302-US1076-00,DC-H06-OD300C(I),DC-H06-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US1068-00,DC-H06-OMD300C(I),DC-H06-OMD300C(I),Milpitas - B,*20,1,,20,1,,,
200302-US1060-00,DC-H06-ON300C(I),DC-H06-ON300C(I),Milpitas - B,*22,1,,22,1,,,
200302-US1077-00,DC-H07-OD300C(I),DC-H07-OD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US1069-00,DC-H07-OMD300C(I),DC-H07-OMD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US1061-00,DC-H07-ON300C(I),DC-H07-ON300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US1078-00,DC-H08-OD300C(I),DC-H08-OD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US1070-00,DC-H08-OMD300C(I),DC-H08-OMD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US1062-00,DC-H08-ON300C(I),DC-H08-ON300C(I),Milpitas - B,*10,1,,10,1,,,
200302-US1079-00,DC-H10-OD300C(I),DC-H10-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US1071-00,DC-H10-OMD300C(I),DC-H10-OMD300C(I),Milpitas - B,*20,1,,20,1,,,
200302-US1063-00,DC-H10-ON300C(I),DC-H10-ON300C(I),Milpitas - B,*19,1,,19,1,,,
200302-US1080-00,DC-H13-OD300C(I),DC-H13-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US1072-00,DC-H13-OMD300C(I),DC-H13-OMD300C(I),Milpitas - B,*25,1,,25,1,,,
200302-US1064-00,DC-H13-ON300C(I),DC-H13-ON300C(I),Milpitas - B,*35,1,,35,1,,,
200302-US1081-00,DC-H15-OD300C(I),DC-H15-OD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US1073-00,DC-H15-OMD300C(I),DC-H15-OMD300C(I),Milpitas - B,*15,1,,15,1,,,
200302-US1065-00,DC-H15-ON300C(I),DC-H15-ON300C(I),Milpitas - B,*14,1,,14,1,,,
200302-US1082-00,DC-H20-OD300C(I),DC-H20-OD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1074-00,DC-H20-OMD300C(I),DC-H20-OMD300C(I),Milpitas - B,*5,1,,5,1,,,
200302-US1066-00,DC-H20-ON300C(I),DC-H20-ON300C(I),Milpitas - B,*5,1,,5,1,,,
200302-000713-00,DC-R05-OD500C(XH),DC-R05-OD500C(XH),Milpitas - B,*51,1,,51,1,,,
200302-000690-00,DC-R05-ON300C(XH),DC-R05-ON300C(XH),Milpitas - B,0,1,,0,1,,,
200302-000714-00,DC-R06-OD500C(XH),DC-R06-OD500C(XH),Milpitas - B,*278,1,,278,1,,,
200302-000440-00,DC-R06-ON200M,DC-R06-ON200M,Milpitas - B,*568,1,,572,1,,,
200302-000691-00,DC-R06-ON300C(XH),DC-R06-ON300C(XH),Milpitas - B,*6,1,,6,1,,,
200302-000722-00,DC-R07-OD500C(XH),DC-R07-OD500C(XH),Milpitas - B,*71,1,,71,1,,,
200302-000223-00,DC-R07-ON300C(XH),DC-R07-ON300C(XH),Milpitas - B,*45,1,,45,1,,,
200302-000715-00,DC-R08-OD500C(XH),DC-R08-OD500C(XH),Milpitas - B,*37,1,,37,1,,,
200302-000224-00,DC-R08-ON300C(XH),DC-R08-ON300C(XH),Milpitas - B,*17,1,,23,1,,,
200302-000716-00,DC-R10-OD500C(XH),DC-R10-OD500C(XH),Milpitas - B,*102,1,,102,1,,,
200302-000443-00,DC-R10-ON200M,DC-R10-ON200M,Milpitas - B,*185,1,,185,1,,,
200302-000694-00,DC-R10-ON300C(XH),DC-R10-ON300C(XH),Milpitas - B,*14,1,,14,1,,,
200302-000717-00,DC-R13-OD500C(XH),DC-R13-OD500C(XH),Milpitas - B,*87,1,,87,1,,,
200302-000227-00,DC-R13-ON300C(XH),DC-R13-ON300C(XH),Milpitas - B,*36,1,,36,1,,,
200302-000718-00,DC-R15-OD500C(XH),DC-R15-OD500C(XH),Milpitas - B,*34,1,,34,1,,,
200302-000445-00,DC-R15-ON200M,DC-R15-ON200M,Milpitas - B,*127,1,,127,1,,,
200302-000696-00,DC-R15-ON300C(XH),DC-R15-ON300C(XH),Milpitas - B,0,1,,0,1,,,
200302-000719-00,DC-R20-OD500C(XH),DC-R20-OD500C(XH),Milpitas - B,*125,1,,125,1,,,
200302-000446-00,DC-R20-ON200M,DC-R20-ON200M,Milpitas - B,*183,1,,183,1,,,
200302-000697-00,DC-R20-ON300C(XH),DC-R20-ON300C(XH),Milpitas - B,0,1,,0,1,,,
200302-000720-00,DC-R30-OD500C(XH),DC-R30-OD500C(XH),Milpitas - B,*45,1,,45,1,,,
200302-000447-00,DC-R30-ON200M,DC-R30-ON200M,Milpitas - B,*159,1,,159,1,,,
200302-000698-00,DC-R30-ON300C(XH),DC-R30-ON300C(XH),Milpitas - B,0,1,,0,1,,,
200302-000721-00,DC-R40-OD500C(XH),DC-R40-OD500C(XH),Milpitas - B,*49,1,,49,1,,,
200302-000448-00,DC-R40-ON200M,DC-R40-ON200M,Milpitas - B,*194,1,,194,1,,,
